id,year,overall_pick,team,player,college,years_active,games,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
965,2006,3,CHA,Adam Morrison,Gonzaga,3.0,161.0,1200.0,342.0,222.0,0.373,0.331,0.71,7.5,2.1,1.4,-1.4,-0.021,-5.0,-2.4
966,2006,4,POR,Tyrus Thomas,LSU,8.0,402.0,3093.0,1938.0,347.0,0.438,0.235,0.732,7.7,4.8,0.9,13.0,0.078,-1.2,1.7
967,2006,5,ATL,Shelden Williams,Duke,6.0,361.0,1618.0,1562.0,163.0,0.462,0.222,0.74,4.5,4.3,0.5,9.9,0.085,-3.0,-1.5
968,2006,6,MIN,Brandon Roy,Washington,6.0,326.0,6136.0,1388.0,1517.0,0.459,0.348,0.8,18.8,4.3,4.7,37.4,0.155,3.6,16.3
969,2006,7,BOS,Randy Foye,Villanova,11.0,752.0,7729.0,1686.0,2112.0,0.401,0.366,0.852,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
970,2006,8,HOU,Rudy Gay,UConn,16.0,1064.0,17349.0,6120.0,2223.0,0.453,0.349,0.799,16.3,5.8,2.1,60.7,0.086,0.7,22.8
971,2006,9,GSW,Patrick O'Bryant,Bradley,4.0,90.0,186.0,127.0,25.0,0.494,0.0,0.583,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
972,2006,10,SEA,Mouhamed Sene,,3.0,47.0,103.0,75.0,1.0,0.427,,0.589,2.2,1.6,0.0,0.3,0.052,-5.1,-0.2
973,2006,11,ORL,J.J. Redick,Duke,15.0,940.0,12028.0,1903.0,1862.0,0.447,0.415,0.892,12.8,2.0,2.0,63.7,0.128,0.6,16.0
974,2006,12,NOK,Hilton Armstrong,UConn,6.0,292.0,880.0,766.0,102.0,0.501,0.286,0.582,3.0,2.6,0.3,3.9,0.055,-4.1,-1.8
975,2006,13,PHI,Thabo Sefolosha,,14.0,869.0,4994.0,3252.0,1196.0,0.449,0.349,0.732,5.7,3.7,1.4,39.3,0.099,0.6,12.4
976,2006,14,UTA,Ronnie Brewer,Arkansas,8.0,502.0,3940.0,1427.0,828.0,0.49,0.254,0.675,7.8,2.8,1.6,30.4,0.127,1.6,10.6
977,2006,15,NOK,Cedric Simmons,NC State,3.0,75.0,163.0,141.0,14.0,0.409,,0.39,2.2,1.9,0.2,0.1,0.005,-5.0,-0.5
1023,2007,1,POR,Greg Oden,Ohio State,3.0,105.0,840.0,656.0,51.0,0.574,,0.658,8.0,6.2,0.5,7.3,0.174,-0.4,0.8
1024,2007,2,SEA,Kevin Durant,Texas,14.0,939.0,25526.0,6646.0,4032.0,0.496,0.384,0.884,27.2,7.1,4.3,155.2,0.216,6.8,76.4
1025,2007,3,ATL,Al Horford,Florida,15.0,950.0,12989.0,7771.0,3144.0,0.515,0.36,0.759,13.7,8.2,3.3,100.3,0.157,2.9,37.9
1026,2007,4,MEM,Mike Conley,Ohio State,15.0,958.0,14221.0,2872.0,5407.0,0.439,0.382,0.82,14.8,3.0,5.6,86.8,0.136,2.5,34.8
